Price,Beds,Baths,Area,Address,Locality
"$588,888",1 bed,1 bath,"1,000 sq. ft",               2629 San Jose Ave            ,            San Francisco CA 94112         
"$699,000",2 beds,1 bath,Property square footage not available,               159 4th Avenue Unit 6            ,            San Francisco CA 94118         
"$1,188,000",3 beds,3 baths,"1,453 sq. ft",               256 Madison Street            ,            San Francisco CA 94134         
"$2,999,000",3 beds,3 baths,"2,712 sq. ft",               2255 Clay Street            ,            San Francisco CA 94115         
"$1,329,000",2 beds,1 bath,"1,050 sq. ft",               73 Nevada Street            ,            San Francisco CA 94110         
"$2,150,000",5 beds,2 baths,"2,991 sq. ft",               806 Haight Street            ,            San Francisco CA 94117         
"$1,498,000",5 beds,3 baths,"2,517 sq. ft",               2471 46th AVE            ,            San Francisco CA 94116         
"$1,529,000",4 beds,3 baths,"2,679 sq. ft",               150 Naples Street            ,            San Francisco CA 94112         
"$2,395,000",Bed information not found,Bath information not found,"4,050 sq. ft",               671 7th Avenue            ,            San Francisco CA 94118         
"$890,000",2 beds,2 baths,"1,515 sq. ft",               1562 Shafter Avenue            ,            San Francisco CA 94124         
"$1,450,000",5 beds,4 baths,"1,622 sq. ft",               2195 42nd Avenue            ,            San Francisco CA 94116         
"$1,799,000",3 beds,2 baths,"2,004 sq. ft",               1650 48th Avenue            ,            San Francisco CA 94122         
"$649,000",2 beds,1 bath,580 sq. ft,               58 Varennes Street Unit B            ,            San Francisco CA 94133         
"$1,590,000",Bed information not found,Bath information not found,"3,240 sq. ft",               21 Wayne Place            ,            San Francisco CA 94133         
"$499,000",Bed information not found,Bath information not found,530 sq. ft,               1483 Sutter Street Unit 723            ,            San Francisco CA 94109         
"$1,550,000",3 beds,2 baths,"2,040 sq. ft",               500 Point Lobos Avenue            ,            San Francisco CA 94121         
"$680,000",2 beds,1 bath,690 sq. ft,               946 Stockton Street Unit 14C            ,            San Francisco CA 94108         
"$1,089,000",2 beds,2 baths,"1,165 sq. ft",               1483 Sutter Street Unit 714            ,            San Francisco CA 94109         
"$998,000",1 bed,1 bath,Property square footage not available,               400 Avila Street Unit 102            ,            San Francisco CA 94123         
"$3,750,000",3 beds,3 baths,"2,400 sq. ft",               426 Greenwich Street Unit 430            ,            San Francisco CA 94133         
